topic Q0 docid rank score qid
1 Q0 g8rsiiy7 1 0.04762704813108039 OHSU_R4_origfusion_Udelgen
1 Q0 2hb28brw 2 0.037144616331871015 OHSU_R4_origfusion_Udelgen
1 Q0 6rpt47gm 3 0.03215116084571122 OHSU_R4_origfusion_Udelgen
1 Q0 svu06v9c 4 0.03162696150127668 OHSU_R4_origfusion_Udelgen
1 Q0 o1uol5u3 5 0.03126541139897493 OHSU_R4_origfusion_Udelgen
1 Q0 b23xm6sg 6 0.031092512317530605 OHSU_R4_origfusion_Udelgen
1 Q0 eec649x4 7 0.03097795014483915 OHSU_R4_origfusion_Udelgen
1 Q0 kgifmjvb 8 0.03093604887264509 OHSU_R4_origfusion_Udelgen
1 Q0 ksh63dpl 9 0.029118551269377426 OHSU_R4_origfusion_Udelgen
1 Q0 0m5mc320 10 0.028869357187434986 OHSU_R4_origfusion_Udelgen
1 Q0 pjeddlgs 11 0.028526077097505674 OHSU_R4_origfusion_Udelgen
1 Q0 vmhrt6bk 12 0.028298204527712725 OHSU_R4_origfusion_Udelgen
1 Q0 8f5m0gej 13 0.028225798199459307 OHSU_R4_origfusion_Udelgen
1 Q0 2upbpr8b 14 0.02804284323271665 OHSU_R4_origfusion_Udelgen
1 Q0 kriro0t4 15 0.02782608695652174 OHSU_R4_origfusion_Udelgen
1 Q0 1bapn9w0 16 0.027629397679130595 OHSU_R4_origfusion_Udelgen
1 Q0 yg2d3ohx 17 0.027051561365286855 OHSU_R4_origfusion_Udelgen
1 Q0 hhpnewdt 18 0.026742734890354787 OHSU_R4_origfusion_Udelgen
1 Q0 v9ftmdlv 19 0.026445080539390372 OHSU_R4_origfusion_Udelgen
1 Q0 9p3jt16w 20 0.02623004235907462 OHSU_R4_origfusion_Udelgen
1 Q0 xdzbwa6z 21 0.02587206371610041 OHSU_R4_origfusion_Udelgen
1 Q0 qfb06csa 22 0.025451688923802042 OHSU_R4_origfusion_Udelgen
1 Q0 i7j15rxy 23 0.025383141762452103 OHSU_R4_origfusion_Udelgen
1 Q0 w4bqp9xr 24 0.02478580171358629 OHSU_R4_origfusion_Udelgen
1 Q0 a8h7irel 25 0.02453127153572206 OHSU_R4_origfusion_Udelgen
1 Q0 8ywd6j2b 26 0.02449563690570885 OHSU_R4_origfusion_Udelgen
1 Q0 629fwmgk 27 0.02403686554232806 OHSU_R4_origfusion_Udelgen
1 Q0 6k5ac3f2 28 0.02393120897793795 OHSU_R4_origfusion_Udelgen
1 Q0 ki7bn67o 29 0.023489010989010992 OHSU_R4_origfusion_Udelgen
1 Q0 r0peje13 30 0.023433525549681044 OHSU_R4_origfusion_Udelgen
1 Q0 c4nlyjiz 31 0.022961816305469555 OHSU_R4_origfusion_Udelgen
1 Q0 4ywt0yqn 32 0.022898521139539104 OHSU_R4_origfusion_Udelgen
1 Q0 v5wmmw7r 33 0.02270262609082994 OHSU_R4_origfusion_Udelgen
1 Q0 xsaat823 34 0.02261904761904762 OHSU_R4_origfusion_Udelgen
1 Q0 ts87u9ou 35 0.022118032903506918 OHSU_R4_origfusion_Udelgen
1 Q0 siwzjeea 36 0.0216986301369863 OHSU_R4_origfusion_Udelgen
1 Q0 rmqu2ngg 37 0.020586297760210804 OHSU_R4_origfusion_Udelgen
1 Q0 d1p9e5sm 38 0.020470664087685362 OHSU_R4_origfusion_Udelgen
1 Q0 27p0hig6 39 0.020468214762211924 OHSU_R4_origfusion_Udelgen
1 Q0 ymhcouo5 40 0.0203944203944204 OHSU_R4_origfusion_Udelgen
1 Q0 lc7hkgka 41 0.020323559150657228 OHSU_R4_origfusion_Udelgen
1 Q0 qbt142yj 42 0.020266182698124618 OHSU_R4_origfusion_Udelgen
1 Q0 fk8veh49 43 0.02017491552375273 OHSU_R4_origfusion_Udelgen
1 Q0 a845az43 44 0.0199144113191233 OHSU_R4_origfusion_Udelgen
1 Q0 ww6z4e9w 45 0.019823947813976048 OHSU_R4_origfusion_Udelgen
1 Q0 gc1wwcpo 46 0.019669235709698137 OHSU_R4_origfusion_Udelgen
1 Q0 a1chcrk8 47 0.019506340547915068 OHSU_R4_origfusion_Udelgen
1 Q0 qheq9lc8 48 0.01932746700188561 OHSU_R4_origfusion_Udelgen
1 Q0 a899ucfs 49 0.01915696159801569 OHSU_R4_origfusion_Udelgen
1 Q0 n1kqn66g 50 0.018564548702811868 OHSU_R4_origfusion_Udelgen
1 Q0 n0wm7ttq 51 0.01823150643905361 OHSU_R4_origfusion_Udelgen
1 Q0 6ffif8fc 52 0.017865061767500794 OHSU_R4_origfusion_Udelgen
1 Q0 q3vrzlz1 53 0.01757469654528478 OHSU_R4_origfusion_Udelgen
1 Q0 jijzpn4i 54 0.01749575662619141 OHSU_R4_origfusion_Udelgen
1 Q0 e56ry1x4 55 0.017420482941547244 OHSU_R4_origfusion_Udelgen
1 Q0 8k28vkgf 56 0.017350142766346985 OHSU_R4_origfusion_Udelgen
1 Q0 6e3gpb93 57 0.01720283194634207 OHSU_R4_origfusion_Udelgen
1 Q0 uqg2xkie 58 0.0171957671957672 OHSU_R4_origfusion_Udelgen
1 Q0 vx7ebtbp 59 0.01709913506320692 OHSU_R4_origfusion_Udelgen
1 Q0 e2zyplbi 60 0.017045657463567086 OHSU_R4_origfusion_Udelgen
1 Q0 qmp2tqtb 61 0.016925280496538554 OHSU_R4_origfusion_Udelgen
1 Q0 qw05apnf 62 0.016893593757118592 OHSU_R4_origfusion_Udelgen
1 Q0 d991ccvr 63 0.016879374900918658 OHSU_R4_origfusion_Udelgen
1 Q0 hnodrgnp 64 0.016868019147481195 OHSU_R4_origfusion_Udelgen
