topic Q0 docid rank score qid
1 Q0 8ywd6j2b 1 0.04640151515151515 OHSU_R4_timefusion
1 Q0 p9tx2oer 2 0.04466027597918165 OHSU_R4_timefusion
1 Q0 g8rsiiy7 3 0.04462063757838406 OHSU_R4_timefusion
1 Q0 8f5m0gej 4 0.04447671049412129 OHSU_R4_timefusion
1 Q0 fs07zdu6 5 0.044168247944339024 OHSU_R4_timefusion
1 Q0 pjeddlgs 6 0.04143669575700396 OHSU_R4_timefusion
1 Q0 0m5mc320 7 0.03993506493506493 OHSU_R4_timefusion
1 Q0 59492sjb 8 0.037521422001015284 OHSU_R4_timefusion
1 Q0 o44yjsla 9 0.0339240390289738 OHSU_R4_timefusion
1 Q0 n2t35wgn 10 0.03094261194894444 OHSU_R4_timefusion
1 Q0 o1uol5u3 11 0.02896541660586605 OHSU_R4_timefusion
1 Q0 eec649x4 12 0.028860028860028863 OHSU_R4_timefusion
1 Q0 105q161g 13 0.028597571295591095 OHSU_R4_timefusion
1 Q0 yg2d3ohx 14 0.028283227848101264 OHSU_R4_timefusion
1 Q0 2ix5sdqk 15 0.027623845146166573 OHSU_R4_timefusion
1 Q0 qfb06csa 16 0.027587519025875192 OHSU_R4_timefusion
1 Q0 l0z79udh 17 0.027537549236029957 OHSU_R4_timefusion
1 Q0 vmhrt6bk 18 0.027146130794993832 OHSU_R4_timefusion
1 Q0 2y452utz 19 0.027111777111777112 OHSU_R4_timefusion
1 Q0 kgifmjvb 20 0.02688925453631336 OHSU_R4_timefusion
1 Q0 ksh63dpl 21 0.026884269963006087 OHSU_R4_timefusion
1 Q0 vx7ebtbp 22 0.026878868258178604 OHSU_R4_timefusion
1 Q0 b5287qd4 23 0.026392534266550013 OHSU_R4_timefusion
1 Q0 wav0d0ws 24 0.026132699813337858 OHSU_R4_timefusion
1 Q0 xvhg4m16 25 0.02587575570768848 OHSU_R4_timefusion
1 Q0 1bapn9w0 26 0.025827404887101762 OHSU_R4_timefusion
1 Q0 tnfgbl05 27 0.025747334510966096 OHSU_R4_timefusion
1 Q0 pn9nwl64 28 0.025657894736842102 OHSU_R4_timefusion
1 Q0 9p3jt16w 29 0.025057603686635944 OHSU_R4_timefusion
1 Q0 kriro0t4 30 0.02489177489177489 OHSU_R4_timefusion
1 Q0 a56u5e2o 31 0.02474241230234425 OHSU_R4_timefusion
1 Q0 8klkojpo 32 0.023346828609986502 OHSU_R4_timefusion
